"filename", "language", "SCSS", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Register\register.schema.js", "JavaScript", 0, 27, 0, 0, 0, 16, 4, 47
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Search\Search.js", "JavaScript", 0, 38, 0, 0, 0, 0, 8, 46
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Search\Search.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Search\SearchResult\SearchResult.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\Search\SearchResult\SearchResult.scss", "SCSS", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Avatar\Avatar.js", "JavaScript", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Avatar\Avatar.scss", "SCSS", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Comments\CommentAdd\CommentAdd.js", "JavaScript", 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Comments\CommentAdd\CommentAdd.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Comments\CommentDate\CommentDate.js", "JavaScript", 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Comments\Comment\Comment.js", "JavaScript", 0, 39, 0, 0, 0, 1, 3, 43
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Comments\Comments.js", "JavaScript", 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Comments\Comments.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Post\Post.js", "JavaScript", 0, 43, 0, 0, 0, 0, 8, 51
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Post\Post.scss", "SCSS", 55, 0, 0, 0, 0, 0, 10, 65
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Post\PostDate\PostDate.js", "JavaScript", 0, 14, 0, 0, 0, 0, 6, 20
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Post\PostLike\PostLike.js", "JavaScript", 0, 68, 0, 0, 0, 1, 8, 77
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\common\Post\PostLike\classexing.js", "JavaScript", 0, 118, 0, 0, 0, 38, 50, 206
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\environments\development.js", "JavaScript", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\environments\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\environments\production.js", "JavaScript", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\index.js", "JavaScript", 0, 15, 0, 0, 0, 5, 4, 24
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\index.scss", "SCSS", 1, 0, 0, 0, 0, 0, 3, 4
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\services\post.service.js", "JavaScript", 0, 120, 0, 0, 0, 0, 14, 134
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\services\user.service.js", "JavaScript", 0, 178, 0, 0, 0, 2, 20, 200
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\user-context.js", "JavaScript", 0, 3, 0, 0, 0, 0, 3, 6
"Total", "-", 243, 1798, 38, 17513, 21, 154, 384, 20151
